0,0
1,0
0.51519,0.87462
-0.484657,0.892072
-0.999695,0.0349048
-0.514886,-0.839715
0.484962,-0.857167
-0.0449573,-1.70522
-1.04435,-1.67032
-1.51382,-0.787368
-1.99863,0.0872514
-1.46871,0.935299
-0.924071,1.77397
0.0753198,1.73907
1.07288,1.66931
1.54236,0.786367
1.98073,-0.112428
1.55811,-1.01874
0.942447,-1.80675
0.354662,-2.61576
-0.642903,-2.54601
-1.63742,-2.44148
-2.1069,-1.55853
-3.08852,-1.74934
-3.00137,-0.753145
-2.94903,0.245485
-2.41911,1.09353
-1.84554,1.91268
-1.24372,2.71132
-0.246157,2.64156
0.752473,2.58923
1.7341,2.39842
2.17247,1.49962
2.59509,0.593317
2.92066,-0.352201
2.43585,-1.22682
1.86227,-2.04597
1.2887,-2.86513
