5,11,0:0,1:0,2:0,3:0,3:1,3:2,3:3,2:3,1:3,0:3,-1.83697e-16:2,-22.3,0,0
5,11,0:0,1:0,2:0,3:0,3:1,3:2,3:3,2:3,1:3,0:3,-1.83697e-16:2,-22.3,0,0
5,11,0:0,1:0,2:0,3:0,3:1,3:2,3:3,2:3,1:3,0:3,-1.83697e-16:2,-22.3,0,0
5,11,0:0,1:0,2:0,3:0,3:1,3:2,3:3,2:3,1:3,0:3,-1.83697e-16:2,-22.3,0,0
5,11,0:0,1:0,2:0,3:0,3:1,3:2,3:3,2:3,1:3,0:3,-1.83697e-16:2,-22.3,0,0
5,11,0:0,1:0,2:0,3:0,3:1,3:2,3:3,2:3,1:3,0:3,-1.83697e-16:2,-22.3,0,0
5,11,0:0,1:0,2:0,3:0,3:1,3:2,3:3,2:3,1:3,0:3,-1.83697e-16:2,-22.3,0,0
5,11,0:0,1:0,2:0,3:0,3:1,3:2,3:3,2:3,1:3,0:3,-1.83697e-16:2,-22.3,0,0
5,11,0:0,1:0,2:0,3:0,3:1,3:2,3:3,2:3,1:3,0:3,-1.83697e-16:2,-22.3,0,0
5,11,0:0,1:0,2:0,3:0,3:1,3:2,3:3,2:3,1:3,0:3,-1.83697e-16:2,-22.3,0,0
5,11,0:0,1:0,2:0,3:0,3:1,3:2,3:3,2:3,1:3,0:3,-1.83697e-16:2,-22.3,0,0
5,11,0:0,1:0,2:0,3:0,3:1,3:2,3:3,2:3,1:3,0:3,-1.83697e-16:2,-22.3,0,0
5,11,0:0,1:0,2:0,3:0,3:1,3:2,3:3,2:3,1:3,0:3,-1.83697e-16:2,-22.3,0,0
5,11,0:0,1:0,2:0,3:0,3:1,3:2,3:3,2:3,1:3,0:3,-1.83697e-16:2,-22.3,0,0
5,11,0:0,1:0,2:0,3:0,3:1,3:2,3:3,2:3,1:3,0:3,-1.83697e-16:2,-22.3,0,0
5,11,0:0,1:0,2:0,3:0,3:1,3:2,3:3,2:3,1:3,0:3,-1.83697e-16:2,-22.3,0,0
5,11,0:0,1:0,2:0,3:0,3:1,3:2,3:3,2:3,1:3,0:3,-1.83697e-16:2,-22.3,0,0
5,11,0:0,1:0,2:0,3:0,3:1,3:2,3:3,2:3,1:3,0:3,-1.83697e-16:2,-22.3,0,0
5,11,0:0,1:0,2:0,3:0,3:1,3:2,3:3,2:3,1:3,0:3,-1.83697e-16:2,-22.3,0,0
5,11,0:0,1:0,2:0,3:0,3:1,3:2,3:3,2:3,1:3,0:3,-1.83697e-16:2,-22.3,0,0
