5,6,0:0,1:0,1.48481:0.87462,0.95489:1.72267,-0.0449573:1.70522,0.484962:0.857167,-9.3,-9.34652,0.297
5,6,0:0,1:0,1.78801:0.615661,2.14638:1.54924,1.15018:1.6364,0.520864:0.859252,-9.3,-8.20714,0.328
