15,3.10669,-1.309,1.09956,1.0821,0.733038,0.994838,0.680678,-2.14675,-1.01229,-0.680678,-0.488692,-0.366519,-0.733038,1.97222,-0.0349066,-28.5392
15,0.174533,-2.30383,2.00713,-2.07694,-1.09956,-0.820305,-0.244346,-1.0472,-0.925025,0,-1.11701,2.04204,-2.11185,-0.942478,3.00197,-31.9153
15,-0.0174533,-2.07694,-0.977384,2.11185,1.02974,1.06465,-0.122173,1.16937,0.977384,0.0174533,1.0472,-0.0523599,1.09956,0.0174533,-1.50098,-32.4561
15,-2.33874,0.20944,2.0944,-2.0944,2.11185,1.01229,1.11701,-0.0698132,0.994838,0.139626,1.02974,1.01229,-2.1293,2.1293,0.855211,-31.7597
15,1.43117,0.575959,-2.0944,-0.994838,2.07694,1.01229,0.977384,0.191986,0.907571,0,-2.11185,-1.01229,-0.0523599,-0.872665,1.85005,-32.2683
15,1.15192,2.96706,2.11185,1.02974,-1.97222,-1.20428,-0.925025,0,-1.09956,0,-1.0472,-1.01229,-0.0349066,-0.0349066,-1.88496,-32.6825
15,1.46608,2.61799,2.14675,-2.0944,-1.0472,-1.02974,-0.10472,-1.0821,-0.942478,-0.0523599,-1.0472,-0.0872665,-0.925025,-0.15708,2.56563,-31.5166
15,-0.733038,2.79253,1.0821,1.02974,1.0821,1.01229,0.0174533,-2.11185,-1.06465,0,-0.977384,-0.0523599,-1.0821,0,-1.69297,-32.8369
15,1.64061,0.523599,-2.05949,-1.0821,2.04204,1.15192,0.942478,0.0872665,0.942478,0.15708,1.0821,0.925025,-0.0174533,0.10472,-1.58825,-31.2992
15,0.959931,0.959931,-2.1293,-0.959931,-1.0821,-0.925025,2.11185,1.01229,0.977384,0.0698132,1.02974,0,0.942478,0.122173,-1.02974,-31.7243
15,0.715585,-2.80998,2.0944,-2.11185,-1.0472,-1.0472,2.0944,-2.11185,-1.06465,0.0523599,-1.0821,-0.0174533,-1.01229,-0.0523599,-0.558505,-32.8359
