9,-2.33874,-1.90241,1.0821,1.06465,1.0472,0.907571,0.279253,-2.16421,-2.21657,-16.2015
9,2.94961,1.50098,-1.02974,-1.11701,-0.820305,-0.925025,-0.436332,-0.733038,-1.50098,-14.7202
9,0.610865,1.43117,-2.11185,-1.09956,-1.0472,-0.925025,2.05949,1.09956,-2.21657,-16.3113
9,2.63545,1.55334,-0.785398,-1.32645,-0.767945,-1.11701,2.0944,1.06465,2.61799,-15.9897
9,-0.0523599,1.93732,-2.00713,-1.06465,-1.11701,-0.698132,2.04204,1.0821,2.32129,-15.491
9,2.1293,2.07694,1.95477,-2.1293,-1.01229,-0.820305,-0.349066,-0.872665,0.15708,-15.7983
9,-0.244346,2.40855,0.750492,1.27409,-2.0944,-1.0821,-1.0821,2.1293,-0.994838,-14.3008
9,-2.02458,-0.0872665,-0.959931,-1.0821,2.0944,-2.0944,-1.0821,-0.977384,0.907571,-16.7117
9,0,1.64061,-0.10472,1.62316,1.51844,-2.07694,2.14675,0,-2.35619,-15.4179
9,0,2.1293,0.802851,1.309,-1.09956,-1.98968,-0.20944,-0.907571,1.93732,-15.6009
9,-3.01942,-1.36136,-2.14675,2.05949,0.872665,1.16937,-2.11185,-1.02974,-1.309,-14.8813
9,-0.593412,-1.46608,-1.0472,-1.06465,1.97222,1.18682,-2.0944,-1.0472,2.0944,-15.4523
9,-1.5708,-2.6529,0.872665,1.27409,0.698132,1.20428,0.174533,-2.1293,-1.27409,-15.6829
9,-1.8675,-0.244346,2.11185,-2.11185,-1.02974,-1.0472,-0.0523599,-1.0472,-2.07694,-16.8424
9,-2.6529,0.541052,2.0944,1.06465,1.0472,1.0472,-2.0944,-1.0472,-2.05949,-16.8517
