1,16,0:0,1:0,1.70711:0.707107,2.08979:1.63099,2.08979:2.63099,1.70711:3.55487,1:4.26197,0.0761205:4.64466,-0.92388:4.64466,-1.84776:4.26197,-2.55487:3.55487,-2.93755:2.63099,-2.93755:1.63099,-2.55487:0.707107,-1.84776:5.60587e-16,-0.92388:-0.382683,-36.5,0,0
1,16,0:0,1:0,1.70711:0.707107,2.08979:1.63099,2.08979:2.63099,1.70711:3.55487,1:4.26197,0.0761205:4.64466,-0.92388:4.64466,-1.84776:4.26197,-2.55487:3.55487,-2.93755:2.63099,-2.93755:1.63099,-2.55487:0.707107,-1.84776:5.60587e-16,-0.92388:-0.382683,-36.5,0,0
1,16,0:0,1:0,1.70711:0.707107,2.08979:1.63099,2.08979:2.63099,1.70711:3.55487,1:4.26197,0.0761205:4.64466,-0.92388:4.64466,-1.84776:4.26197,-2.55487:3.55487,-2.93755:2.63099,-2.93755:1.63099,-2.55487:0.707107,-1.84776:5.60587e-16,-0.92388:-0.382683,-36.5,0,0
1,16,0:0,1:0,1.70711:0.707107,2.08979:1.63099,2.08979:2.63099,1.70711:3.55487,1:4.26197,0.0761205:4.64466,-0.92388:4.64466,-1.84776:4.26197,-2.55487:3.55487,-2.93755:2.63099,-2.93755:1.63099,-2.55487:0.707107,-1.84776:5.60587e-16,-0.92388:-0.382683,-36.5,0,0
1,16,0:0,1:0,1.70711:0.707107,2.08979:1.63099,2.08979:2.63099,1.70711:3.55487,1:4.26197,0.0761205:4.64466,-0.92388:4.64466,-1.84776:4.26197,-2.55487:3.55487,-2.93755:2.63099,-2.93755:1.63099,-2.55487:0.707107,-1.84776:5.60587e-16,-0.92388:-0.382683,-36.5,0,0
1,16,0:0,1:0,1.70711:0.707107,2.08979:1.63099,2.08979:2.63099,1.70711:3.55487,1:4.26197,0.0761205:4.64466,-0.92388:4.64466,-1.84776:4.26197,-2.55487:3.55487,-2.93755:2.63099,-2.93755:1.63099,-2.55487:0.707107,-1.84776:5.60587e-16,-0.92388:-0.382683,-36.5,0,0
1,16,0:0,1:0,1.70711:0.707107,2.08979:1.63099,2.08979:2.63099,1.70711:3.55487,1:4.26197,0.0761205:4.64466,-0.92388:4.64466,-1.84776:4.26197,-2.55487:3.55487,-2.93755:2.63099,-2.93755:1.63099,-2.55487:0.707107,-1.84776:5.60587e-16,-0.92388:-0.382683,-36.5,0,0
1,16,0:0,1:0,1.70711:0.707107,2.08979:1.63099,2.08979:2.63099,1.70711:3.55487,1:4.26197,0.0761205:4.64466,-0.92388:4.64466,-1.84776:4.26197,-2.55487:3.55487,-2.93755:2.63099,-2.93755:1.63099,-2.55487:0.707107,-1.84776:5.60587e-16,-0.92388:-0.382683,-36.5,0,0
1,16,0:0,1:0,1.70711:0.707107,2.08979:1.63099,2.08979:2.63099,1.70711:3.55487,1:4.26197,0.0761205:4.64466,-0.92388:4.64466,-1.84776:4.26197,-2.55487:3.55487,-2.93755:2.63099,-2.93755:1.63099,-2.55487:0.707107,-1.84776:5.60587e-16,-0.92388:-0.382683,-36.5,0,0
1,16,0:0,1:0,1.70711:0.707107,2.08979:1.63099,2.08979:2.63099,1.70711:3.55487,1:4.26197,0.0761205:4.64466,-0.92388:4.64466,-1.84776:4.26197,-2.55487:3.55487,-2.93755:2.63099,-2.93755:1.63099,-2.55487:0.707107,-1.84776:5.60587e-16,-0.92388:-0.382683,-36.5,0,0
